"vehicle_id","test_date","test_mileage","postcode_area","make","colour","cylinder_capacity"
342464727,2023-09-22,24514,"B","HONDA","BLUE",1498
426065965,2023-01-06,24538,"TD","TOYOTA","GREY",1497
258540251,2023-03-27,24608,"S","TOYOTA","WHITE",2494
1261576375,2023-07-20,24631,"NR","NISSAN","BLUE",1598
510706361,2023-03-21,24647,"ME","SKODA","GREY",1498
1266650911,2023-10-20,24760,"LU","SEAT","SILVER",1598
975680431,2023-07-18,24805,"EH","VAUXHALL","BLUE",1199
670436497,2023-12-08,24852,"BL","BMW","BLACK",1998
1295809989,2023-06-13,24868,"CF","ALFA ROMEO","BLUE",1995
1208065323,2023-04-22,24906,"CR","LAND ROVER","BLACK",1999
456466583,2023-03-17,24962,"OX","VOLKSWAGEN","BLUE",1968
1189886403,2023-06-06,24979,"NN","FORD","BLUE",999
1107451361,2023-08-21,24984,"TN","BMW","WHITE",2979
1032802841,2023-12-30,25005,"DN","VAUXHALL","GREY",1364
94240423,2023-04-19,25223,"BR","DACIA","BLACK",1598
702033700,2023-01-20,25227,"HA","TOYOTA","BLACK",998
232071775,2023-09-11,25280,"MK","AUDI","WHITE",2967
807940962,2023-09-11,25305,"GU","NISSAN","BLUE",1240
1206466203,2023-12-08,25334,"YO","FORD","WHITE",1496
409339205,2023-08-22,25381,"GU","VOLKSWAGEN","RED",999
302545290,2023-09-25,25419,"PE","SUZUKI","SILVER",599
435773969,2023-08-21,25450,"WA","JAGUAR","BLUE",1997
1407411261,2023-02-01,25464,"NN","NISSAN","RED",1198
86114187,2023-09-12,25476,"KY","VOLKSWAGEN","BLUE",999
1128503553,2023-07-28,25500,"CM","FORD","BLACK",1084
564296297,2023-02-28,25570,"BB","RENAULT","WHITE",1332
1171403124,2023-03-01,25572,"DT","VOLKSWAGEN","GREEN",1390
1201378767,2023-02-14,25576,"NR","PEUGEOT","BLACK",1200
1028066383,2023-07-04,25595,"LL","AUDI","BLACK",999
1056282177,2023-07-29,25619,"BL","MAZDA","GREY",1998
842923463,2023-03-21,25628,"WV","VOLVO","BLACK",1969
1164787627,2023-05-27,25695,"SL","AUDI","BLUE",1395
1121615433,2023-06-13,25756,"TW","SMART (MCC)","BLACK",999
1169970423,2023-09-06,25793,"EH","HONDA","BLACK",1498
556002535,2023-06-28,25873,"CT","LAND ROVER","RED",1999
1144970373,2023-10-26,25927,"S","HONDA","SILVER",1798
1349510277,2023-10-23,26084,"CT","VAUXHALL","RED",1199
934748085,2023-06-24,26111,"LE","FIAT","WHITE",1242
521551699,2023-09-06,26177,"CM","LAND ROVER","BLACK",1999
1200191968,2023-08-10,26193,"BB","PEUGEOT","BLUE",1360
181583293,2023-03-22,26203,"PO","MINI","BLACK",1998
1020589750,2023-01-09,26205,"NE","YAMAHA","WHITE",599
67826305,2023-03-10,26264,"ML","NISSAN","BLUE",1461
65921813,2023-03-31,26346,"SO","MERCEDES-BENZ","SILVER",2143
229708921,2023-03-10,26352,"FY","VOLVO","WHITE",1969
1137459753,2023-01-18,26357,"SS","FORD","WHITE",998
117983615,2023-11-20,26383,"IP","ISUZU","BLUE",1898
138973667,2023-09-01,26385,"DY","VOLKSWAGEN","WHITE",1498
